Plate_ID,Fun_ID,cont_ID,PH_ID,Plug_ID,opp_ID,r,K
HP706,H,0,7,hHP706,P,0.16083306502138112,15.9
HP706,P,0,7,pHP706,H,0.1969420450948024,7.5
HP707,H,0,7,hHP707,P,0.14797126212605205,15.2
HP707,P,0,7,pHP707,H,0.2239699336535069,6.8
HP708,H,0,7,hHP708,P,0.17212399605719708,16.2
HP708,P,0,7,pHP708,H,0.20924705419645895,6.6
HP709,H,0,7,hHP709,P,0.16856925414213045,15.6
HP709,P,0,7,pHP709,H,0.20924705419645895,7.6
HP710,H,0,7,hHP710,P,0.15659537106192087,15.3
HP710,P,0,7,pHP710,H,0.16445959923824216,7.9
LA501,L,0,5,lLA501,A,0.104113640366888,6.6
LA501,A,0,5,aLA501,L,0.18329213359917837,5.9
LA502,L,0,5,lLA502,A,0.12645011395981,6.5
LA502,A,0,5,aLA502,L,0.17328679513998635,5.5
LA503,L,0,5,lLA503,A,0.13200658428116427,6.4
LA503,A,0,5,aLA503,L,0.09664873602918526,1.6
LA504,L,0,5,lLA504,A,0.15049660054074204,6.3
LA504,A,0,5,aLA504,L,0.20527846690713653,6.2
LA505,L,0,5,lLA505,A,0.15401796016157906,6.4
LA505,A,0,5,aLA505,L,0.13122776556233473,5
LA506,L,0,5,lLA506,A,0.1320065842811642,6.4
LA506,A,0,5,aLA506,L,0.13260899508565788,5.6
LA507,L,0,5,lLA507,A,0.15912070947661097,6.6
LA507,A,0,5,aLA507,L,0.06737456259158592,1.5
LA508,L,0,5,lLA508,A,0.16241037301628267,5.9
LA508,A,0,5,aLA508,L,0.15912070947661097,3
LA509,L,0,5,lLA509,A,0.15401796016157906,6.3
LA509,A,0,5,aLA509,L,0.13732653608351378,2.7
LA510,L,0,5,lLA510,A,0.1320065842811642,6.4
LA510,A,0,5,aLA510,L,0.1808648728670407,4.8
LA701,L,0,7,lLA701,A,0.15204941554056167,10.3
LA701,A,0,7,aLA701,L,0.14733187454270577,8.6
LA702,L,0,7,lLA702,A,0.168740839618627,13.2
LA702,A,0,7,aLA702,L,0.1440849387422982,2
LA703,L,0,7,lLA703,A,0.15204941554056167,12.8
LA703,A,0,7,aLA703,L,0.16011673068275808,3.6
LA704,L,0,7,lLA704,A,0.12770640594149768,13.5
LA704,A,0,7,aLA704,L,0.15297192895276449,1.8
LA705,L,0,7,lLA705,A,0.1907570379368812,11.8
LA705,A,0,7,aLA705,L,0.12870242714764485,1.5
LA706,L,0,7,lLA706,A,0.13732653608351378,13
LA706,A,0,7,aLA706,L,0.1145363414842694,1.8
LA708,L,0,7,lLA708,A,0.17328679513998638,12.2
LA708,A,0,7,aLA708,L,0.13732653608351378,2
LA709,L,0,7,lLA709,A,0.1540179601615791,13.5
LA709,A,0,7,aLA709,L,0.16241037301628267,2.9
LA710,L,0,7,lLA710,A,0.14869800835922956,12.2
LA710,A,0,7,aLA710,L,0.19607698973923063,3.3
LH501,L,0,5,lLH501,H,0.12645011395981007,5.4
LH501,H,0,5,hLH501,L,0.09026683967914974,8.7
